Name	Source	function
Sobic.001G382000	defLine	similar to Serine/threonine-protein kinase AtPK19, putative, expressed
Sobic.001G382100	defLine	similar to Possible Photosystem II reaction center Psb27 protein, putative, expressed
Sobic.001G382200	defLine	similar to Eukaryotic translation initiation factor 2 subunit beta
Sobic.001G382400	defLine	similar to Putative uncharacterized protein
Sobic.001G382500	defLine	similar to Os03g0333100 protein
Sobic.001G382600	defLine	similar to Expressed protein
Sobic.001G382700	defLine	similar to Protein kinase domain containing protein, expressed
Sobic.001G382800	defLine	similar to ATP-dependent transporter ycf16, putative, expressed
Sobic.001G382900	defLine	similar to Os03g0332500 protein
Sobic.001G383100	defLine	similar to Hydroxyacylglutathione hydrolase, putative, expressed
Sobic.001G383200	defLine	weakly similar to Bromodomain containing protein, expressed
Sobic.001G383300	defLine	similar to Putative mitochondrial half-ABC transporter
Sobic.001G383400	defLine	similar to Cytochrome P450 family protein, expressed
Sobic.001G383500	defLine	similar to Putative uncharacterized protein P0706E03.2
Sobic.001G383700	defLine	similar to Calmodulin-like protein
Sobic.001G383800	defLine	similar to Calmodulin-like protein
Sobic.001G383900	defLine	similar to Expressed protein
Sobic.001G384000	defLine	similar to Expressed protein
Sobic.001G384100	defLine	similar to 2,3-bisphosphoglycerate-independent phosphoglycerate mutase, putative
Sobic.001G384200	defLine	similar to Glycosyl transferase family 8 protein, expressed
Sobic.001G384300	defLine	similar to Myb-like DNA-binding domain, SHAQKYF class family protein, expressed
Sobic.001G384400	defLine	similar to Putative alpha 3 glucosyltransferase
Sobic.001G384500	defLine	similar to Protein kinase domain containing protein, expressed
Sobic.001G384600	defLine	similar to Endoglucanase 9
Sobic.001G384700	defLine	similar to Zinc finger C-x8-C-x5-C-x3-H type family protein, expressed
Sobic.001G384800	defLine	Predicted protein
Sobic.001G385000	defLine	similar to Putative uncharacterized protein
Sobic.001G385200	defLine	similar to Putative uncharacterized protein
Sobic.001G3852000	defLine	similar to Putative uncharacterized protein
Sobic.001G3852001	defLine	similar to Putative uncharacterized protein
Sobic.001G385200	defLine	similar to Putative uncharacterized protein
Sobic.001G385300	defLine	similar to Axi 1 protein, putative, expressed
Sobic.001G385800	defLine	similar to Putative NAM (No apical meristem) protein
Sobic.001G385900	defLine	similar to Osr40c1 protein
Sobic.001G386000	defLine	similar to Putative uncharacterized protein
Sobic.001G386100	defLine	similar to RNA recognition motif family protein, expressed
Sobic.001G386200	defLine	similar to Thioredoxin-like 1, putative, expressed
Sobic.001G386300	defLine	similar to Expressed protein
Sobic.001G386600	defLine	similar to WUSCHEL-related homeobox 6
Sobic.001G386700	defLine	similar to Transfactor, putative, expressed
Sobic.001G386900	defLine	similar to Pyruvate kinase
Sobic.001G387000	defLine	similar to Zinc finger, C3HC4 type family protein, expressed
Sobic.001G387200	defLine	similar to Expressed protein
Sobic.001G387300	defLine	similar to Secondary cell wall-related glycosyltransferase family 47, putative, expressed
Sobic.001G387500	defLine	weakly similar to NB-ARC domain containing protein, expressed
Sobic.001G387600	defLine	similar to Ethylene-insensitive-3-like protein
Sobic.001G387700	defLine	similar to Protease inhibitor/seed storage/LTP family protein, expressed
Sobic.001G387800	defLine	similar to Mitochondrial import receptor subunit TOM40, putative, expressed
Sobic.001G387900	defLine	similar to DnaJ domain containing protein, expressed
Sobic.001G388000	defLine	similar to GTPase activating protein, putative, expressed
Sobic.001G3880000	defLine	similar to GTPase activating protein, putative, expressed
Sobic.001G388000	defLine	similar to GTPase activating protein, putative, expressed
Sobic.001G388100	defLine	similar to Late embryogenesis abundant protein 1
Sobic.001G388200	defLine	similar to Phagocytosis and cell motility protein ELMO1, putative, expressed
Sobic.001G388300	defLine	similar to BZIP transcription factor family protein, expressed
Sobic.001G388400	defLine	similar to Expressed protein
Sobic.001G388600	defLine	similar to 14 kDa zinc-binding protein
Sobic.001G388700	defLine	similar to Expressed protein
Sobic.001G388800	defLine	similar to Cytidine and deoxycytidylate deaminase zinc-binding region family protein, expressed
Sobic.001G388900	defLine	similar to Lipoate-protein ligase, putative, expressed
Sobic.001G389000	defLine	similar to WRKY DNA binding domain containing protein, expressed
Sobic.001G389100	defLine	similar to Expressed protein
Sobic.001G389200	defLine	similar to Serologically defined breast cancer antigen NY-BR-84, putative, expressed
Sobic.001G389300	defLine	similar to F-box domain containing protein, expressed
Sobic.001G389400	defLine	similar to Membrane steroid binding protein 1, putative, expressed
Sobic.001G389500	defLine	similar to Guanylate kinase family protein, expressed
Sobic.001G389600	defLine	similar to Leucine Rich Repeat family protein, expressed
Sobic.001G389700	defLine	weakly similar to VQ motif family protein, expressed
Sobic.001G389900	defLine	similar to Aquaporin SIP2-1
Sobic.001G390000	defLine	similar to Putative uncharacterized protein P0039H02.102-1
Sobic.001G390200	defLine	similar to CIPK-like protein 1
Sobic.001G390300	defLine	similar to Calmodulin-2
Sobic.001G390400	defLine	similar to Putative uncharacterized protein
Sobic.001G390500	defLine	similar to Beta subunit 1 of SnRK1
Sobic.001G390700	defLine	weakly similar to VQ motif family protein, expressed
Sobic.001G390800	defLine	similar to BZIP transcription factor
Sobic.001G390900	defLine	similar to Glucose-6-phosphate 1-dehydrogenase
Sobic.001G391200	defLine	similar to ABC transporter family protein, expressed
Sobic.001G391300	defLine	similar to Galactinol synthase 3
Sobic.001G391400	defLine	similar to 30S ribosomal protein S1, chloroplast, putative, expressed
Sobic.001G391500	defLine	similar to Myb-like DNA-binding domain containing protein, expressed
Sobic.001G391600	defLine	similar to Beta-fructofuranosidase, putative, expressed
Sobic.001G391900	defLine	similar to NifU-like domain containing protein, expressed
Sobic.001G392000	defLine	similar to WD40-like Beta Propeller Repeat family protein, expressed
Sobic.001G392100	defLine	similar to Pentatricopeptide, putative, expressed
Sobic.001G392200	defLine	similar to O-acetyltransferase, putative, expressed
Sobic.001G392300	defLine	similar to Pre-mRNA splicing factor ATP-dependent RNA helicase, putative, expressed
Sobic.001G392400	defLine	similar to Putative uncharacterized protein
Sobic.001G392700	defLine	weakly similar to Os03g0313100 protein
Sobic.001G392800	defLine	similar to ETC complex I subunit conserved region family protein, expressed
Sobic.001G393600	defLine	similar to Expressed protein
Sobic.001G393800	defLine	similar to Enoyl-CoA hydratase/isomerase family protein, expressed
Sobic.001G394000	defLine	similar to GDSL-like Lipase/Acylhydrolase family protein, expressed
Sobic.001G394400	defLine	similar to Phytochrome B
Sobic.001G394600	defLine	similar to Expressed protein
Sobic.001G395000	defLine	similar to Expressed protein
Sobic.001G395100	defLine	similar to DEAD-box ATP-dependent RNA helicase 24
Sobic.001G395200	defLine	similar to Cyclin, putative, expressed
Sobic.001G395300	defLine	similar to ATP-dependent Clp protease proteolytic subunit
Sobic.001G395400	defLine	similar to Ubiquitinating enzyme, putative, expressed
Sobic.001G395500	defLine	similar to Polycomb protein EZ3
Sobic.001G395700	defLine	similar to Expressed protein
Sobic.001G395800	defLine	similar to Os10g0443000 protein
Sobic.001G395900	defLine	similar to ZmNAS2 protein
Sobic.001G396000	defLine	similar to Prolyl oligopeptidase family protein, expressed
Sobic.001G396200	defLine	similar to Seed maturation protein PM36, putative, expressed
Sobic.001G396300	defLine	similar to CP12, putative, expressed
Sobic.001G396400	defLine	similar to BZIP transcription factor family protein, expressed
Sobic.001G396500	defLine	similar to Lon protease homolog
Sobic.001G396600	defLine	similar to Glycosyltransferase 5, putative, expressed
Sobic.001G396700	defLine	similar to Glycosyltransferase 5, putative, expressed
Sobic.001G396800	defLine	similar to Peptide chain release factor 2 family protein, expressed
Sobic.001G396900	defLine	similar to Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein, putative, expressed
Sobic.001G397000	defLine	similar to Argininosuccinate lyase, putative, expressed
Sobic.001G397200	defLine	similar to Universal stress protein family protein, expressed
Sobic.001G397300	defLine	similar to Expressed protein
Sobic.001G397400	defLine	similar to AMP-binding enzyme family protein, expressed
Sobic.001G397500	defLine	similar to Os03g0305000 protein
Sobic.001G397600	defLine	similar to Negatively light-regulated protein, putative, expressed
Sobic.001G397700	defLine	similar to TPR Domain containing protein, expressed
Sobic.001G397900	defLine	similar to Yellow seed1
Sobic.001G398000	defLine	similar to Expressed protein
Sobic.001G398300	defLine	similar to Expressed protein
Sobic.001G398400	defLine	similar to Expressed protein
Sobic.001G398500	defLine	similar to Long cell-linked locus protein
Sobic.001G398700	defLine	similar to Expressed protein
Sobic.001G398800	defLine	similar to Putative uncharacterized protein OSJNBa0052F07.7
Sobic.001G399100	defLine	similar to Peroxisomal biogenesis factor 11 family protein, expressed
Sobic.001G399300	defLine	similar to Protein phosphatase 2C, putative, expressed
Sobic.001G399400	defLine	similar to Calmodulin-binding protein, putative, expressed
Sobic.001G399600	defLine	weakly similar to Zinc finger C-x8-C-x5-C-x3-H type family protein
Sobic.001G399900	defLine	similar to Roothairless 3
Sobic.001G400000	defLine	similar to Probable UDP-arabinose 4-epimerase 3
Sobic.001G400200	defLine	Predicted protein
Sobic.001G400300	defLine	similar to DnaJ, putative, expressed
Sobic.001G400400	defLine	similar to Pectinesterase family protein, expressed
Sobic.001G400500	defLine	similar to Dek1-calpain-like protein
Sobic.001G400900	defLine	similar to Pathogenesis-related protein 10a
Sobic.001G401100	defLine	similar to Pathogenesis-related protein 10a
Sobic.001G401200	defLine	similar to Pathogenesis-related protein 10a
Sobic.001G401300	defLine	similar to Pathogenesis-related protein 10a
Sobic.001G401400	defLine	similar to Transducin family protein, putative, expressed
Sobic.001G401500	defLine	similar to Programmed cell death protein 2, C-terminal domain containing protein, expressed
Sobic.001G401600	defLine	similar to Glycosyltransferase 5, putative, expressed
Sobic.001G401700	defLine	similar to Aspartate aminotransferase, putative, expressed
Sobic.001G401800	defLine	similar to Putative uncharacterized protein
Sobic.001G402200	defLine	similar to Sex determination protein tasselseed-2
Sobic.001G402300	defLine	similar to RNA recognition motif family protein, expressed
Sobic.001G402400	defLine	similar to Os03g0298700 protein
Sobic.001G402500	defLine	similar to Eukaryotic translation initiation factor 5
Sobic.001G403000	defLine	similar to Putative uncharacterized protein
Sobic.001G403100	defLine	similar to Multicopper oxidase family protein, expressed
Sobic.001G403200	defLine	similar to Leucine Rich Repeat family protein, expressed
Sobic.001G403300	defLine	similar to Streptomyces cyclase/dehydrase family protein, expressed
Sobic.001G403400	defLine	similar to Malonyl CoA-acyl carrier protein transacylase containing protein, expressed
Sobic.001G403500	defLine	similar to 40S ribosomal protein S7
Sobic.001G403600	defLine	similar to Expressed protein
Sobic.001G403900	defLine	similar to ECA1 protein
Sobic.001G404000	defLine	similar to Glycosyl hydrolases family 17 protein, expressed
Sobic.001G404100	defLine	similar to Eukaryotic translation initiation factor 2 alpha subunit family protein, expressed
Sobic.001G404200	defLine	similar to Os03g0296300 protein
Sobic.001G404300	defLine	Predicted protein
Sobic.001G404500	defLine	similar to Gamma interferon inducible lysosomal thiol reductase family protein, expressed
Sobic.001G404600	defLine	similar to Expressed protein
Sobic.001G404700	defLine	similar to Os03g0295600 protein
Sobic.001G404800	defLine	similar to CHCH domain containing protein, expressed
Sobic.001G404900	defLine	similar to Ubiquitin-activating enzyme E1 3, putative, expressed
Sobic.001G405000	defLine	similar to Ser-thr protein kinase, putative, expressed
Sobic.001G405100	defLine	similar to Putative uncharacterized protein
Sobic.001G405200	defLine	similar to Putative uncharacterized protein
Sobic.001G405300	defLine	similar to Chromosome chr6 scaffold_3, whole genome shotgun sequence
Sobic.001G405400	defLine	similar to Os03g0294100 protein
Sobic.001G405500	defLine	similar to Pyruvate decarboxylase isozyme 2
Sobic.001G405700	defLine	similar to Os03g0293100 protein
Sobic.001G405800	defLine	similar to DnaJ domain containing protein, expressed
Sobic.001G405900	defLine	similar to Ran-binding protein 1, putative, expressed
Sobic.001G406000	defLine	similar to Protein kinase domain containing protein, expressed
Sobic.001G406100	defLine	similar to Mitochondrial carrier protein, expressed
Sobic.001G406300	defLine	similar to Protein phosphatase type 2-C
Sobic.001G406500	defLine	similar to BTB/POZ domain containing protein
Sobic.001G406600	defLine	similar to BTB/POZ domain containing protein
Sobic.001G406700	defLine	similar to Os03g0291800 protein
Sobic.001G406800	defLine	similar to Asparagine synthetase, putative, expressed
Sobic.001G407000	defLine	similar to Expressed protein
Sobic.001G407200	defLine	similar to Os03g0290500 protein
Sobic.001G407600	defLine	similar to Fatty acid desaturase
Sobic.001G407700	defLine	similar to Os09g0503400 protein
Sobic.001G407800	defLine	similar to Oxidoreductase, 2OG-Fe oxygenase family protein, expressed
Sobic.001G407900	defLine	similar to Rhodanese-like family protein, putative
Sobic.001G408100	defLine	similar to Yip1 domain containing protein, expressed
Sobic.001G408200	defLine	similar to SNF1-related protein kinase
Sobic.001G408300	defLine	similar to Expressed protein
Sobic.001G408400	defLine	similar to PAP2 superfamily protein, expressed
Sobic.001G408500	defLine	similar to Muscle derived-like protein
Sobic.001G408600	defLine	similar to Putative uncharacterized protein
Sobic.001G408700	defLine	similar to Os03g0288400 protein
Sobic.001G408800	defLine	similar to Hydrolase, alpha/beta fold family protein, expressed
Sobic.001G408900	defLine	similar to Protein disulfide isomerase
Sobic.001G409100	defLine	similar to Glycosyltransferase family 43 protein, expressed
Sobic.001G409200	defLine	similar to LOB domain protein 1, putative, expressed
Sobic.001G409300	defLine	similar to Phosphatidylinositol transfer protein, expressed
Sobic.001G409400	defLine	similar to Putative uncharacterized protein
Sobic.001G409500	defLine	similar to WD domain containing protein, putative, expressed
Sobic.001G409600	defLine	similar to Putative uncharacterized protein
Sobic.001G409700	defLine	similar to RNA recognition motif family protein, expressed
Sobic.001G409800	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G410000	defLine	similar to Prephenate dehydratase family protein, expressed
Sobic.001G410100	defLine	similar to MAP kinase 4
Sobic.001G410200	defLine	similar to L-ascorbate peroxidase 1, cytosolic
Sobic.001G410700	defLine	similar to Pentatricopeptide, putative, expressed
Sobic.001G410800	defLine	similar to Topoisomerase Spo11
Sobic.001G411100	defLine	similar to UPF0308 protein, chloroplast, putative, expressed
Sobic.001G411200	defLine	similar to Putative uncharacterized protein
Sobic.001G411300	defLine	similar to 50S ribosomal protein L10
Sobic.001G411400	defLine	similar to Two-component response regulator-like PRR73
Sobic.001G411500	defLine	similar to Putative uncharacterized protein
Sobic.001G411900	defLine	similar to Os03g0283800 protein
Sobic.001G412100	defLine	similar to Putative phosphatidylglycerolphosphate synthase
Sobic.001G412200	defLine	similar to Putative uncharacterized protein
Sobic.001G412400	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G412500	defLine	similar to Expressed protein
Sobic.001G412700	defLine	similar to IN2-1 protein
Sobic.001G412800	defLine	similar to IN2-1 protein, putative, expressed
Sobic.001G413100	defLine	similar to Putative uncharacterized protein
Sobic.001G413200	defLine	similar to Expressed protein
Sobic.001G413300	defLine	similar to Pre-mRNA splicing factor ATP-dependent RNA helicase mog-4, putative
Sobic.001G413400	defLine	Predicted protein
Sobic.001G413600	defLine	similar to Immunophilin-like
Sobic.001G413700	defLine	similar to Putative uncharacterized protein
Sobic.001G413900	defLine	similar to Cation-transporting ATPase
Sobic.001G414000	defLine	similar to Protein kinase, putative, expressed
Sobic.001G414200	defLine	weakly similar to Expressed protein
Sobic.001G414400	defLine	similar to Putative uncharacterized protein
Sobic.001G414500	defLine	similar to Ankyrin repeat family protein, putative, expressed
Sobic.001G414650	defLine	similar to UDP-glucuronic acid decarboxylase
Sobic.001G414800	defLine	similar to Os03g0280700 protein
Sobic.001G414900	defLine	similar to Expressed protein
Sobic.001G415000	defLine	similar to Chromosome chr14 scaffold_9, whole genome shotgun sequence
Sobic.001G415100	defLine	weakly similar to Chromosome undetermined scaffold_53, whole genome shotgun sequence
Sobic.001G415200	defLine	similar to Uncharacterized plant-specific domain TIGR01589 family protein, expressed
Sobic.001G415300	defLine	similar to ABC transporter family protein, putative, expressed
Sobic.001G415400	defLine	similar to Putative uncharacterized protein
Sobic.001G415500	defLine	similar to Zinc finger, C3HC4 type family protein, expressed
Sobic.001G415700	defLine	similar to Putative uncharacterized protein OJ1316_A04.102-1
Sobic.001G416000	defLine	weakly similar to Putative kinesin heavy chain
Sobic.001G416200	defLine	similar to Zinc finger DNA-binding protein, putative, expressed
Sobic.001G416300	defLine	similar to Expressed protein
Sobic.001G416600	defLine	similar to Rhamnose biosynthetic enzyme 1, putative, expressed
Sobic.001G416700	defLine	similar to Arginine biosynthesis bifunctional protein argJ 1, putative, expressed
Sobic.001G416800	defLine	similar to Histone H2A
Sobic.001G416900	defLine	similar to Histone H2A
Sobic.001G417000	defLine	similar to Histone H2B.3
Sobic.001G417200	defLine	similar to H+-transporting ATP synthase chain 9-like protein
Sobic.001G417400	defLine	similar to RNA-binding protein, putative, expressed
Sobic.001G417600	defLine	similar to Actin-depolymerizing factor 7
Sobic.001G417700	defLine	similar to Polyadenylate binding protein, types 1, 2, 3, 4 family protein, expressed
Sobic.001G417800	defLine	similar to ARF GAP-like zinc finger-containing protein ZIGA2, putative, expressed
Sobic.001G417900	defLine	similar to RNA and export factor-binding protein, putative, expressed
Sobic.001G418000	defLine	similar to Rhamnose biosynthetic enzyme 1, putative, expressed
Sobic.001G418100	defLine	similar to UDP-D-glucuronate decarboxylase
Sobic.001G418200	defLine	similar to 33 kDa secretory protein, putative, expressed
Sobic.001G418500	defLine	similar to Glyoxalase family protein, expressed
Sobic.001G418600	defLine	similar to Heat shock cognate 70 kDa protein
Sobic.001G418700	defLine	similar to SLT1 protein, putative, expressed
Sobic.001G418800	defLine	similar to Glycosyltransferase family 14 protein, putative, expressed
Sobic.001G418900	defLine	similar to Expressed protein
Sobic.001G419000	defLine	similar to Heat shock cognate 70 kDa protein
Sobic.001G419300	defLine	similar to Heat shock cognate 70 kDa protein
Sobic.001G419400	defLine	similar to Heat shock cognate 70 kDa protein
Sobic.001G419500	defLine	similar to Heat shock cognate 70 kDa protein
Sobic.001G419900	defLine	similar to Heat shock cognate 70 kDa protein
Sobic.001G420000	defLine	similar to Expressed protein
Sobic.001G420100	defLine	similar to Heat shock cognate 70 kDa protein
Sobic.001G420200	defLine	similar to U1 snRNP
Sobic.001G420300	defLine	similar to Dof domain, zinc finger family protein, expressed
Sobic.001G420400	defLine	similar to Putative uncharacterized protein
Sobic.001G420500	defLine	similar to Spotted leaf protein 11, putative, expressed
Sobic.001G420700	defLine	similar to Clathrin assembly protein, putative, expressed
Sobic.001G420800	defLine	similar to DHHC zinc finger domain containing protein, expressed
Sobic.001G420900	defLine	similar to Ankyrin repeat family protein, putative, expressed
Sobic.001G421000	defLine	similar to Protein phosphatase 2C containing protein, expressed
Sobic.001G421300	defLine	similar to Protein kinase APK1B, chloroplast, putative, expressed
Sobic.001G421400	defLine	similar to Expressed protein
Sobic.001G421500	defLine	similar to Initiator-binding protein
Sobic.001G421700	defLine	similar to Oxysterol-binding protein, expressed
Sobic.001G421900	defLine	similar to Putative uncharacterized protein
Sobic.001G422100	defLine	similar to Haloacid dehalogenase-like hydrolase family protein, putative, expressed
Sobic.001G422300	defLine	similar to Laccase-10 precursor
Sobic.001G422366	defLine	similar to Expressed protein
Sobic.001G422500	defLine	similar to Putative uncharacterized protein
Sobic.001G422700	defLine	similar to Zinc finger family protein, putative, expressed
Sobic.001G422800	defLine	similar to Putative uncharacterized protein
Sobic.001G422900	defLine	similar to Putative uncharacterized protein
Sobic.001G423000	defLine	similar to Expressed protein
Sobic.001G423100	defLine	similar to HEAT repeat family protein, expressed
Sobic.001G423200	defLine	similar to Putative uncharacterized protein
Sobic.001G423300	defLine	similar to Protein TOC75, chloroplast precursor
Sobic.001G423400	defLine	similar to Sigma factor SIG2B
Sobic.001G423500	defLine	weakly similar to Putative uncharacterized protein
Sobic.001G423600	defLine	similar to Os03g0270500 protein
Sobic.001G423800	defLine	similar to Putative uncharacterized protein
Sobic.001G424200	defLine	similar to Protein kinase domain containing protein, expressed
Sobic.001G424300	defLine	similar to Tropinone reductase, putative, expressed
Sobic.001G424400	defLine	similar to Putative uncharacterized protein
Sobic.001G424500	defLine	similar to COG1208, GCD1, Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (EIF-2Bgamma/eIF-2Bepsilon) [Cell envelope biogenesis, outer membrane / Translati
Sobic.001G424600	defLine	similar to Name
Sobic.001G424700	defLine	similar to Protein kinase domain containing protein, expressed
Sobic.001G424800	defLine	similar to Expressed protein
Sobic.001G425000	defLine	similar to Serine/threonine-protein phosphatase PP1
Sobic.001G425100	defLine	similar to LIM domain-containing protein, putative, expressed
Sobic.001G425200	defLine	similar to Expressed protein
Sobic.001G425300	defLine	similar to Lipase, putative, expressed
Sobic.001G425400	defLine	similar to Fructose-1,6-bisphosphatase, chloroplast precursor
Sobic.001G425500	defLine	similar to 17.4 kDa class I heat shock protein 3
Sobic.001G425700	defLine	similar to Protein kinase, putative, expressed
Sobic.001G425800	defLine	similar to Variant SH3 domain containing protein, expressed
Sobic.001G426000	defLine	similar to 17.4 kDa class I heat shock protein 3
Sobic.001G426100	defLine	similar to Enolase
Sobic.001G426200	defLine	similar to Putative uncharacterized protein
Sobic.001G426300	defLine	similar to OTU-like cysteine protease family protein, expressed
Sobic.001G426400	defLine	similar to Expressed protein
Sobic.001G426800	defLine	similar to RNA recognition motif family protein, expressed
Sobic.001G426900	defLine	similar to Putative uncharacterized protein
Sobic.001G427000	defLine	similar to 50S ribosomal protein L4, chloroplast, putative, expressed
Sobic.001G427100	defLine	similar to Putative uncharacterized protein
Sobic.001G427200	defLine	similar to Josephin, putative, expressed
Sobic.001G427300	defLine	similar to Putative uncharacterized protein
Sobic.001G427400	defLine	similar to ATPase, AAA family protein, expressed
Sobic.001G427500	defLine	similar to Putative uncharacterized protein
Sobic.001G427600	defLine	similar to Putative uncharacterized protein
Sobic.001G427700	defLine	similar to Anthranilate synthase alpha subunit
Sobic.001G427800	defLine	similar to Os03g0264300 protein
Sobic.001G427900	defLine	similar to ASC1-like protein 3
Sobic.001G428000	defLine	similar to Calcium-binding EF hand family protein, putative, expressed
Sobic.001G428100	defLine	similar to S-ribonuclease binding protein sbp1
Sobic.001G428200	defLine	similar to Expressed protein
Sobic.001G428300	defLine	similar to Male fertility protein
Sobic.001G428400	defLine	similar to Splicing factor 3A subunit 2, putative, expressed
Sobic.001G428500	defLine	similar to Phosphate carrier protein, mitochondrial, putative, expressed
Sobic.001G428700	defLine	similar to Putative uncharacterized protein
Sobic.001G428800	defLine	similar to Vacuolar sorting protein 9 domain containing protein, expressed
Sobic.001G429000	defLine	similar to Harpin-induced protein 1 containing protein, expressed
Sobic.001G429100	defLine	similar to Translation initiation factor nCBP
Sobic.001G429200	defLine	similar to AT hook motif family protein, expressed
Sobic.001G429300	defLine	similar to Mitogen-activated protein kinase 1, putative, expressed
Sobic.001G429500	defLine	similar to Os03g0262000 protein
Sobic.001G429600	defLine	similar to Putative uncharacterized protein
Sobic.001G429700	defLine	similar to Expressed protein
Sobic.001G429800	defLine	similar to DnaJ domain containing protein, expressed
Sobic.001G429900	defLine	similar to Os03g0261100 protein
Sobic.001G430000	defLine	similar to Helix-loop-helix DNA-binding domain containing protein, expressed
Sobic.001G430200	defLine	similar to Dynamin family protein, putative, expressed
Sobic.001G430500	defLine	similar to Dynamin family protein, putative, expressed
Sobic.001G430600	defLine	similar to OSIGBa0111L12.4 protein
Sobic.001G430700	defLine	similar to Expressed protein
Sobic.001G430800	defLine	similar to Expressed protein
Sobic.001G431000	defLine	similar to Sel-1, putative, expressed
Sobic.001G431100	defLine	similar to Chemocyanin, putative, expressed
Sobic.001G431200	defLine	similar to Glyoxal oxidase, putative, expressed
Sobic.001G431500	defLine	similar to Expressed protein
Sobic.001G431700	defLine	similar to Expressed protein
Sobic.001G431800	defLine	similar to Expressed protein
Sobic.001G431900	defLine	similar to Expressed protein
Sobic.001G432000	defLine	similar to Os08g0239000 protein
Sobic.001G432100	defLine	similar to Expressed protein
Sobic.001G432200	defLine	similar to RhoGAP domain containing protein, expressed
Sobic.001G432300	defLine	similar to Imidazole glycerol phosphate synthase hisHF, chloroplast, putative, expressed
Sobic.001G432400	defLine	Predicted protein
Sobic.001G432500	defLine	similar to Expressed protein
Sobic.001G432600	defLine	similar to Expressed protein
Sobic.001G432700	defLine	similar to Expressed protein
Sobic.001G432800	defLine	similar to Phosphoenolpyruvate carboxykinase, putative, expressed
Sobic.001G433000	defLine	similar to FAR1 family protein, expressed
Sobic.001G433100	defLine	similar to Os03g0255200 protein
Sobic.001G433200	defLine	similar to Beta-galactosidase 6 precursor
Sobic.001G433300	defLine	similar to Transposon protein, putative, unclassified, expressed
Sobic.001G433400	defLine	similar to Os03g0254900 protein
Sobic.001G433500	defLine	weakly similar to OSIGBa0145C02.7 protein
Sobic.001G433700	defLine	similar to Chorismate synthase
Sobic.001G433800	defLine	similar to Expressed protein
Sobic.001G433900	defLine	similar to Patatin-like phospholipase family protein, expressed
Sobic.001G434000	defLine	similar to Tryptophan/tyrosine permease family protein, expressed
Sobic.001G434100	defLine	similar to NB-ARC domain containing protein, expressed
Sobic.001G434200	defLine	similar to Expressed protein
Sobic.001G434300	defLine	similar to Expressed protein
Sobic.001G434400	defLine	similar to Putative uncharacterized protein
Sobic.001G434450	defLine	weakly similar to Os03g0253500 protein
Sobic.001G434500	defLine	similar to Os03g0253500 protein
Sobic.001G434600	defLine	similar to Os03g0253200 protein
Sobic.001G434700	defLine	similar to Phosphomevalonate kinase, putative, expressed
Sobic.001G434800	defLine	similar to Myb family transcription factor, putative
Sobic.001G434900	defLine	similar to Aminotransferase, classes I and II family protein, expressed
Sobic.001G435000	defLine	similar to Esterase, putative, expressed
Sobic.001G435100	defLine	similar to Putative uncharacterized protein
Sobic.001G435300	defLine	similar to Calcium-dependent lipid-binding protein, putative
Sobic.001G435400	defLine	similar to V-type ATPase 116kDa subunit family protein, expressed
Sobic.001G435500	defLine	similar to Putative uncharacterized protein
Sobic.001G435800	defLine	similar to 39 kDa EF-Hand containing protein, putative, expressed
Sobic.001G435900	defLine	similar to Rap8, putative, expressed
Sobic.001G436000	defLine	similar to Expressed protein
Sobic.001G436100	defLine	similar to UDP-glucuronic acid 4-epimerase isoform 1
Sobic.001G436200	defLine	similar to 40S ribosomal protein S20
Sobic.001G436300	defLine	similar to Nucleotide-sensitive chloride conductance regulator family protein, expressed
Sobic.001G436600	defLine	similar to Tetratricopeptide-like helical
Sobic.001G436900	defLine	similar to Autophagy protein 9
Sobic.001G437000	defLine	similar to ACT domain containing protein, expressed
Sobic.001G437100	defLine	similar to Expressed protein
Sobic.001G437200	defLine	similar to Clp amino terminal domain containing protein, expressed
Sobic.001G437300	defLine	similar to LOB domain protein 18, putative
Sobic.001G437400	defLine	similar to Guanine nucleotide-exchange protein GEP2
Sobic.001G437500	defLine	similar to Expressed protein
Sobic.001G438000	defLine	similar to Heat shock protein 26
Sobic.001G438100	defLine	similar to Senescence-associated protein 15, putative, expressed
Sobic.001G438200	defLine	similar to Expressed protein
Sobic.001G438300	defLine	similar to Nucleoid DNA-binding protein cnd41-like
Sobic.001G438400	defLine	similar to Expressed protein
Sobic.001G438500	defLine	similar to Proline-rich protein, putative, expressed
Sobic.001G438600	defLine	similar to Probable dihydrodipicolinate reductase 2, chloroplast precursor
Sobic.001G438700	defLine	weakly similar to Os08g0548400 protein
Sobic.001G438800	defLine	similar to Armadillo/beta-catenin-like repeat family protein, expressed
Sobic.001G439000	defLine	similar to AUX1 protein, putative, expressed
Sobic.001G439100	defLine	similar to SCUTL1, putative, expressed
Sobic.001G439200	defLine	similar to Thaumatin family protein, expressed
Sobic.001G439300	defLine	similar to Expressed protein
Sobic.001G439400	defLine	similar to Glycosyl hydrolase family 10 protein, expressed
Sobic.001G439500	defLine	weakly similar to Acyl CoA binding protein, expressed
